"","GENDER","RACE","AGE","CRF","BMI","Risk","Range_upper","Range_lower"
"1","F","W",50,"0",15,4.1,NA,NA
"2","F","W",50,"1",15,6.5,4.5,9.3
"3","F","W",50,"2",15,10,5.6,17
"4","F","W",50,"3",15,16,8,27
"5","F","W",50,"4",15,24,14,36
"6","F","W",50,"5",15,35,23,43
"7","F","W",50,"6",15,49,NA,NA
"8","F","W",50,"0",20,3.8,NA,NA
"9","F","W",50,"1",20,6,4.1,8.3
"10","F","W",50,"2",20,9.2,5,16
"11","F","W",50,"3",20,14,6.9,25
"12","F","W",50,"4",20,21,12,32
"13","F","W",50,"5",20,30,20,39
"14","F","W",50,"6",20,42,NA,NA
"15","F","W",50,"0",25,3.7,NA,NA
"16","F","W",50,"1",25,5.7,3.9,7.8
"17","F","W",50,"2",25,8.7,4.6,15
"18","F","W",50,"3",25,13,6.3,23
"19","F","W",50,"4",25,19,10,30
"20","F","W",50,"5",25,27,19,36
"21","F","W",50,"6",25,38,NA,NA
"22","F","W",50,"0",30,3.2,NA,NA
"23","F","W",50,"1",30,5,3.4,6.8
"24","F","W",50,"2",30,7.6,4.1,13
"25","F","W",50,"3",30,11,5.5,21
"26","F","W",50,"4",30,17,9,27
"27","F","W",50,"5",30,24,17,32
"28","F","W",50,"6",30,34,NA,NA
"29","F","W",50,"0",35,2.8,NA,NA
"30","F","W",50,"1",35,4.4,3,6
"31","F","W",50,"2",35,6.7,3.5,12
"32","F","W",50,"3",35,10,4.8,18
"33","F","W",50,"4",35,15,7.9,24
"34","F","W",50,"5",35,21,15,28
"35","F","W",50,"6",35,30,NA,NA
"36","F","W",50,"0",40,2.5,NA,NA
"37","F","W",50,"1",40,3.8,2.6,5.2
"38","F","W",50,"2",40,5.9,3.1,10
"39","F","W",50,"3",40,8.8,4.2,16
"40","F","W",50,"4",40,13,6.8,21
"41","F","W",50,"5",40,19,13,25
"42","F","W",50,"6",40,27,NA,NA
"43","F","W",50,"0",45,2.2,NA,NA
"44","F","W",50,"1",45,3.4,2.3,4.6
"45","F","W",50,"2",45,5.2,2.7,9
"46","F","W",50,"3",45,7.7,3.7,14
"47","F","W",50,"4",45,11,6,19
"48","F","W",50,"5",45,17,12,22
"49","F","W",50,"6",45,23,NA,NA
"50","F","W",55,"0",15,6.4,NA,NA
"51","F","W",55,"1",15,10,7,14
"52","F","W",55,"2",15,15,8.8,24
"53","F","W",55,"3",15,23,13,37
"54","F","W",55,"4",15,34,21,49
"55","F","W",55,"5",15,47,34,57
"56","F","W",55,"6",15,63,NA,NA
"57","F","W",55,"0",20,5.9,NA,NA
"58","F","W",55,"1",20,9.2,6.4,12
"59","F","W",55,"2",20,14,7.8,23
"60","F","W",55,"3",20,21,11,35
"61","F","W",55,"4",20,30,18,45
"62","F","W",55,"5",20,42,30,52
"63","F","W",55,"6",20,56,NA,NA
"64","F","W",55,"0",25,5.7,NA,NA
"65","F","W",55,"1",25,8.8,6,12
"66","F","W",55,"2",25,13,7.2,22
"67","F","W",55,"3",25,19,9.8,33
"68","F","W",55,"4",25,28,16,42
"69","F","W",55,"5",25,38,28,49
"70","F","W",55,"6",25,52,NA,NA
"71","F","W",55,"0",30,5,NA,NA
"72","F","W",55,"1",30,7.7,5.3,10
"73","F","W",55,"2",30,12,6.3,19
"74","F","W",55,"3",30,17,8.6,30
"75","F","W",55,"4",30,24,14,38
"76","F","W",55,"5",30,34,25,44
"77","F","W",55,"6",30,46,NA,NA
"78","F","W",55,"0",35,4.4,NA,NA
"79","F","W",55,"1",35,6.8,4.6,9
"80","F","W",55,"2",35,10,5.5,17
"81","F","W",55,"3",35,15,7.5,26
"82","F","W",55,"4",35,22,12,34
"83","F","W",55,"5",35,30,22,40
"84","F","W",55,"6",35,42,NA,NA
"85","F","W",55,"0",40,3.9,NA,NA
"86","F","W",55,"1",40,5.9,4,7.8
"87","F","W",55,"2",40,8.9,4.8,15
"88","F","W",55,"3",40,13,6.5,24
"89","F","W",55,"4",40,19,11,30
"90","F","W",55,"5",40,27,20,36
"91","F","W",55,"6",40,37,NA,NA
"92","F","W",55,"0",45,3.4,NA,NA
"93","F","W",55,"1",45,5.2,3.5,6.9
"94","F","W",55,"2",45,7.9,4.2,13
"95","F","W",55,"3",45,12,5.7,21
"96","F","W",55,"4",45,17,9.2,27
"97","F","W",55,"5",45,24,17,32
"98","F","W",55,"6",45,33,NA,NA
"99","F","W",60,"0",15,8.8,NA,NA
"100","F","W",60,"1",15,14,9.8,18
"101","F","W",60,"2",15,21,12,31
"102","F","W",60,"3",15,30,18,46
"103","F","W",60,"4",15,43,29,58
"104","F","W",60,"5",15,57,44,67
"105","F","W",60,"6",15,72,NA,NA
"106","F","W",60,"0",20,8,NA,NA
"107","F","W",60,"1",20,12,8.6,16
"108","F","W",60,"2",20,18,11,29
"109","F","W",60,"3",20,27,15,43
"110","F","W",60,"4",20,38,25,54
"111","F","W",60,"5",20,51,39,62
"112","F","W",60,"6",20,66,NA,NA
"113","F","W",60,"0",25,7.6,NA,NA
"114","F","W",60,"1",25,12,8.1,15
"115","F","W",60,"2",25,17,9.8,27
"116","F","W",60,"3",25,25,13,41
"117","F","W",60,"4",25,35,22,51
"118","F","W",60,"5",25,47,37,58
"119","F","W",60,"6",25,61,NA,NA
"120","F","W",60,"0",30,6.7,NA,NA
"121","F","W",60,"1",30,10,7,13
"122","F","W",60,"2",30,15,8.5,24
"123","F","W",60,"3",30,22,12,37
"124","F","W",60,"4",30,31,19,46
"125","F","W",60,"5",30,42,32,53
